 

stn;time;rre150z0
CGI;202203230710;0.0
CGI;202203230720;0.0
CGI;202203230730;0.0
CGI;202203230740;0.0
CGI;202203230750;0.0
CGI;202203230800;0.0
CGI;202203230810;0.0
CGI;202203230820;0.0
CGI;202203230830;0.0
CGI;202203230840;0.0
CGI;202203230850;0.0
CGI;202203230900;0.0
CGI;202203230910;0.0
CGI;202203230920;0.0
CGI;202203230930;0.0
CGI;202203230940;0.0
CGI;202203230950;0.0
CGI;202203231000;0.0
CGI;202203231010;0.0
CGI;202203231020;0.0
CGI;202203231030;0.0
CGI;202203231040;0.0
CGI;202203231050;0.0
CGI;202203231100;0.0
CGI;202203231110;0.0
CGI;202203231120;0.0
CGI;202203231130;0.0
CGI;202203231140;0.0
CGI;202203231150;0.0
CGI;202203231200;0.0
CGI;202203231210;0.0
CGI;202203231220;0.0
CGI;202203231230;0.0
CGI;202203231240;0.0
CGI;202203231250;0.0
CGI;202203231300;0.0
CGI;202203231310;0.0
CGI;202203231320;0.0
CGI;202203231330;0.0
CGI;202203231340;0.0
CGI;202203231350;0.0
CGI;202203231400;0.0
CGI;202203231410;0.0
CGI;202203231420;0.0
CGI;202203231430;0.0
CGI;202203231440;0.0
CGI;202203231450;0.0
CGI;202203231500;0.0
CGI;202203231510;0.0
CGI;202203231520;0.0
CGI;202203231530;0.0
CGI;202203231540;0.0
CGI;202203231550;0.0
CGI;202203231600;0.0
CGI;202203231610;0.0
CGI;202203231620;0.0
CGI;202203231630;0.0
CGI;202203231640;0.0
CGI;202203231650;0.0
CGI;202203231700;0.0
CGI;202203231710;0.0
CGI;202203231720;0.0
CGI;202203231730;0.0
CGI;202203231740;0.0
CGI;202203231750;0.0
CGI;202203231800;0.0
CGI;202203231810;0.0
CGI;202203231820;0.0
CGI;202203231830;0.0
CGI;202203231840;0.0
CGI;202203231850;0.0
CGI;202203231900;0.0
CGI;202203231910;0.0
CGI;202203231920;0.0
CGI;202203231930;0.0
CGI;202203231940;0.0
CGI;202203231950;0.0
CGI;202203232000;0.0
CGI;202203232010;0.0
CGI;202203232020;0.0
CGI;202203232030;0.0
CGI;202203232040;0.0
CGI;202203232050;0.0
CGI;202203232100;0.0
CGI;202203232110;0.0
CGI;202203232120;0.0
CGI;202203232130;0.0
CGI;202203232140;0.0
CGI;202203232150;0.0
CGI;202203232200;0.0
CGI;202203232210;0.0
CGI;202203232220;0.0
CGI;202203232230;0.0
CGI;202203232240;0.0
CGI;202203232250;0.0
CGI;202203232300;0.0
CGI;202203232310;0.0
CGI;202203232320;0.0
CGI;202203232330;0.0
CGI;202203232340;0.0
CGI;202203232350;0.0
CGI;202203240000;0.0
CGI;202203240010;0.0
CGI;202203240020;0.0
CGI;202203240030;0.0
CGI;202203240040;0.0
CGI;202203240050;0.0
CGI;202203240100;0.0
CGI;202203240110;0.0
CGI;202203240120;0.0
CGI;202203240130;0.0
CGI;202203240140;0.0
CGI;202203240150;0.0
CGI;202203240200;0.0
CGI;202203240210;0.0
CGI;202203240220;0.0
CGI;202203240230;0.0
CGI;202203240240;0.0
CGI;202203240250;0.0
CGI;202203240300;0.0
CGI;202203240310;0.0
CGI;202203240320;0.0
CGI;202203240330;0.0
CGI;202203240340;0.0
CGI;202203240350;0.0
CGI;202203240400;0.0
CGI;202203240410;0.0
CGI;202203240420;0.0
CGI;202203240430;0.0
CGI;202203240440;0.0
CGI;202203240450;0.0
CGI;202203240500;0.0
CGI;202203240510;0.0
CGI;202203240520;0.0
CGI;202203240530;0.0
CGI;202203240540;0.0
CGI;202203240550;0.0
CGI;202203240600;0.0
CGI;202203240610;0.0
CGI;202203240620;0.0
CGI;202203240630;0.0
CGI;202203240640;0.0
CGI;202203240650;0.0
CGI;202203240700;0.0
CGI;202203240710;0.0
CGI;202203240720;0.0
CGI;202203240730;0.0
CGI;202203240740;0.0
CGI;202203240750;0.0
CGI;202203240800;0.0
CGI;202203240810;0.0
CGI;202203240820;0.0
CGI;202203240830;0.0
CGI;202203240840;0.0
CGI;202203240850;0.0
CGI;202203240900;0.0
CGI;202203240910;0.0
CGI;202203240920;0.0
CGI;202203240930;0.0
CGI;202203240940;0.0
CGI;202203240950;0.0
CGI;202203241000;0.0
CGI;202203241010;0.0
CGI;202203241020;0.0
CGI;202203241030;0.0
CGI;202203241040;0.0
CGI;202203241050;0.0
CGI;202203241100;0.0
CGI;202203241110;0.0
CGI;202203241120;0.0
CGI;202203241130;0.0
CGI;202203241140;0.0
CGI;202203241150;0.0
CGI;202203241200;0.0
CGI;202203241210;0.0
CGI;202203241220;0.0
CGI;202203241230;0.0
CGI;202203241240;0.0
CGI;202203241250;0.0
CGI;202203241300;0.0
CGI;202203241310;0.0
CGI;202203241320;0.0
CGI;202203241330;0.0
CGI;202203241340;0.0
CGI;202203241350;0.0
CGI;202203241400;0.0
CGI;202203241410;0.0
CGI;202203241420;0.0
CGI;202203241430;0.0
CGI;202203241440;0.0
CGI;202203241450;0.0
CGI;202203241500;0.0
CGI;202203241510;0.0
